lng,lat
-7.0312,49.8295
-1.4062,56.5515
-4.9219,53.7467
-4.9219,52.9068
-4.9219,52.0504
-4.9219,51.1772
-3.5156,55.3771
-0.7031,55.3771
-0.7031,50.2872
0.7031,53.7467
2.1094,52.9068
2.1094,52.0504
2.1094,51.1772
-5.2734,50.5129
-5.2734,50.0637
-4.5703,50.5129
-4.5703,50.0637
-3.8672,54.7748
-3.8672,54.3672
-3.8672,53.1199
-3.8672,52.6958
-3.8672,52.2676
-3.8672,51.3987
-3.8672,50.9579
-3.8672,50.0637
-3.1641,54.7748
-3.1641,54.3672
-3.1641,52.6958
-3.1641,52.2676
-3.1641,50.5129
-2.4609,55.5778
-2.4609,55.1784
-2.4609,54.7748
-2.4609,54.3672
-2.4609,50.9579
-2.4609,50.5129
-1.7578,55.5778
-1.7578,54.3672
-1.7578,50.5129
-0.3516,54.3672
0.3516,53.1199
0.3516,52.6958
1.0547,53.1199
1.0547,50.9579
-4.043,51.9441
-4.043,51.7269
-4.043,50.6249
-3.6914,51.9441
-3.6914,51.7269
-3.6914,50.6249
-3.6914,50.4014
-3.3398,54.0593
-3.3398,53.4356
-3.3398,53.2256
-3.3398,53.0147
-3.3398,51.9441
-3.3398,51.2893
-3.3398,51.0689
-3.3398,50.8474
-2.9883,54.0593
-2.9883,53.6445
-2.9883,53.0147
-2.9883,51.9441
-2.9883,51.7269
-2.9883,51.5086
-2.9883,51.2893
-2.9883,51.0689
-2.9883,50.8474
-2.6367,54.0593
-2.6367,53.8524
-2.6367,53.2256
-2.6367,53.0147
-2.6367,52.8026
-2.6367,52.5896
-2.6367,52.3755
-2.6367,52.1603
-2.6367,51.9441
-2.6367,51.7269
-2.6367,51.2893
-2.2852,54.0593
-2.2852,53.8524
-2.2852,53.2256
-2.2852,52.8026
-2.2852,52.3755
-2.2852,52.1603
-2.2852,51.9441
-2.2852,51.7269
-2.2852,51.5086
-2.2852,51.2893
-1.9336,55.279
-1.9336,55.0782
-1.9336,54.8765
-1.9336,54.6737
-1.9336,54.0593
-1.9336,53.2256
-1.9336,53.0147
-1.9336,52.8026
-1.9336,52.1603
-1.9336,51.9441
-1.9336,51.7269
-1.9336,51.5086
-1.9336,51.2893
-1.9336,51.0689
-1.9336,50.8474
-1.582,55.279
-1.582,54.6737
-1.582,54.0593
-1.582,53.2256
-1.582,53.0147
-1.582,52.8026
-1.582,52.5896
-1.582,52.1603
-1.582,51.9441
-1.582,51.7269
-1.582,51.5086
-1.582,51.2893
-1.582,51.0689
-1.582,50.8474
-1.2305,54.8765
-1.2305,54.6737
-1.2305,54.4699
-1.2305,54.2651
-1.2305,54.0593
-1.2305,53.8524
-1.2305,53.6445
-1.2305,52.8026
-1.2305,52.3755
-1.2305,52.1603
-1.2305,51.9441
-1.2305,51.7269
-1.2305,51.5086
-1.2305,51.2893
-1.2305,51.0689
-0.8789,54.6737
-0.8789,54.4699
-0.8789,54.2651
-0.8789,54.0593
-0.8789,53.8524
-0.8789,53.6445
-0.8789,53.4356
-0.8789,53.2256
-0.8789,53.0147
-0.8789,52.8026
-0.8789,52.5896
-0.8789,52.3755
-0.8789,51.9441
-0.8789,51.7269
-0.8789,51.0689
-0.8789,50.8474
-0.5273,54.0593
-0.5273,53.8524
-0.5273,53.6445
-0.5273,53.4356
-0.5273,53.2256
-0.5273,53.0147
-0.5273,52.8026
-0.5273,52.5896
-0.5273,52.3755
-0.5273,52.1603
-0.5273,51.0689
-0.5273,50.8474
-0.1758,54.0593
-0.1758,53.8524
-0.1758,53.6445
-0.1758,53.4356
-0.1758,53.2256
-0.1758,53.0147
-0.1758,52.8026
-0.1758,52.5896
-0.1758,52.3755
-0.1758,52.1603
-0.1758,51.9441
-0.1758,51.0689
0.1758,52.3755
0.1758,52.1603
0.1758,51.9441
0.1758,51.7269
0.1758,51.2893
0.1758,51.0689
0.1758,50.8474
0.5273,52.3755
0.5273,52.1603
0.5273,51.9441
0.5273,51.7269
0.5273,51.0689
0.5273,50.8474
0.8789,52.8026
0.8789,52.5896
0.8789,52.3755
0.8789,52.1603
0.8789,51.9441
0.8789,51.7269
0.8789,51.5086
0.8789,51.2893
1.2305,52.8026
1.2305,52.5896
1.2305,52.3755
1.2305,52.1603
1.2305,51.9441
1.2305,51.7269
1.2305,51.2893
-4.1309,50.4575
-4.1309,50.3454
-3.9551,50.4575
-3.9551,50.3454
-3.4277,51.7814
-3.4277,51.6725
-3.4277,51.5634
-3.4277,51.454
-3.252,51.7814
-3.252,51.6725
-3.252,51.5634
-3.252,51.454
-3.0762,53.9043
-3.0762,53.8006
-3.0762,53.488
-3.0762,53.3833
-3.0762,53.2783
-3.0762,53.1731
-2.9004,53.9043
-2.9004,53.8006
-2.9004,53.488
-2.9004,53.2783
-2.9004,53.1731
-2.7246,53.6967
-2.7246,53.5925
-2.7246,53.488
-2.7246,53.3833
-2.7246,51.5634
-2.7246,51.454
-2.5488,53.6967
-2.5488,53.5925
-2.5488,53.488
-2.5488,53.3833
-2.5488,51.5634
-2.373,53.6967
-2.373,53.5925
-2.373,53.488
-2.373,53.3833
-2.373,53.0676
-2.373,52.9618
-2.373,52.643
-2.373,52.5362
-2.1973,53.6967
-2.1973,53.5925
-2.1973,53.0676
-2.1973,52.9618
-2.1973,52.643
-2.1973,52.5362
-2.0215,53.9043
-2.0215,53.8006
-2.0215,53.6967
-2.0215,53.5925
-2.0215,53.488
-2.0215,53.3833
-2.0215,52.643
-2.0215,52.3219
-1.8457,53.9043
-1.8457,53.8006
-1.8457,53.6967
-1.8457,53.5925
-1.8457,53.488
-1.8457,53.3833
-1.8457,52.643
-1.8457,52.3219
-1.6699,55.1286
-1.6699,55.028
-1.6699,54.9271
-1.6699,54.826
-1.6699,53.9043
-1.6699,53.6967
-1.6699,53.5925
-1.6699,53.488
-1.6699,53.3833
-1.6699,52.4292
-1.6699,52.3219
-1.4941,55.1286
-1.4941,55.028
-1.4941,54.826
-1.4941,53.9043
-1.4941,53.6967
-1.4941,53.5925
-1.4941,53.488
-1.4941,52.3219
-1.3184,53.488
-1.3184,53.3833
-1.3184,53.2783
-1.3184,53.1731
-1.3184,53.0676
-1.3184,52.9618
-1.3184,52.643
-1.3184,52.5362
-1.3184,50.903
-1.3184,50.792
-1.1426,53.488
-1.1426,53.3833
-1.1426,53.2783
-1.1426,53.1731
-1.1426,53.0676
-1.1426,52.5362
-1.1426,50.903
-1.1426,50.792
-0.9668,52.2143
-0.9668,52.1065
-0.9668,51.5634
-0.9668,51.454
-0.9668,51.3443
-0.9668,51.2344
-0.791,52.2143
-0.791,52.1065
-0.791,51.5634
-0.791,51.454
-0.791,51.3443
-0.791,51.2344
-0.6152,51.9984
-0.6152,51.89
-0.6152,51.7814
-0.6152,51.6725
-0.6152,51.5634
-0.6152,51.454
-0.6152,51.3443
-0.6152,51.2344
-0.4395,51.9984
-0.4395,51.89
-0.4395,51.7814
-0.4395,51.6725
-0.4395,51.3443
-0.4395,51.2344
-0.2637,51.7814
-0.2637,51.6725
-0.2637,51.2344
-0.2637,50.903
-0.2637,50.792
-0.0879,51.7814
-0.0879,51.2344
-0.0879,50.903
-0.0879,50.792
0.2637,51.5634
0.2637,51.454
0.4395,51.5634
0.4395,51.454
0.4395,51.3443
0.4395,51.2344
0.6152,51.5634
0.6152,51.454
0.6152,51.3443
0.6152,51.2344
-2.9443,53.4095
-2.9443,53.3571
-2.8564,53.4095
-2.8564,53.3571
-2.5928,51.4814
-2.5928,51.4266
-2.5049,51.4814
-2.5049,51.4266
-2.2412,53.5142
-2.2412,53.4619
-2.2412,53.4095
-2.2412,53.3571
-2.1533,53.5142
-2.1533,53.4619
-2.1533,53.4095
-2.1533,53.3571
-2.0654,52.563
-2.0654,52.5095
-2.0654,52.456
-2.0654,52.4024
-1.9775,52.563
-1.9775,52.5095
-1.9775,52.456
-1.9775,52.4024
-1.8896,52.563
-1.8896,52.5095
-1.8896,52.456
-1.8896,52.4024
-1.8018,52.563
-1.8018,52.5095
-1.8018,52.456
-1.8018,52.4024
-1.7139,53.8266
-1.7139,53.7747
-1.626,53.8266
-1.626,53.7747
-1.5381,54.9524
-1.5381,54.9019
-1.5381,53.8266
-1.5381,53.7747
-1.5381,53.4095
-1.5381,53.3571
-1.5381,52.456
-1.5381,52.4024
-1.4502,54.9524
-1.4502,54.9019
-1.4502,53.8266
-1.4502,53.7747
-1.4502,53.4095
-1.4502,53.3571
-1.4502,52.456
-1.4502,52.4024
-1.1865,52.9883
-1.1865,52.9354
-1.1865,52.6697
-1.1865,52.6164
-1.0986,52.9883
-1.0986,52.9354
-1.0986,52.6697
-1.0986,52.6164
-0.4834,51.5907
-0.4834,51.5361
-0.4834,51.4814
-0.4834,51.4266
-0.3955,51.5907
-0.3955,51.5361
-0.3955,51.4814
-0.3955,51.4266
-0.3076,51.5907
-0.3076,51.5361
-0.3076,51.4814
-0.3076,51.4266
-0.3076,51.3718
-0.3076,51.3169
-0.2197,51.5907
-0.2197,51.4266
-0.2197,51.3718
-0.2197,51.3169
-0.1318,51.6998
-0.1318,51.6453
-0.1318,51.5907
-0.1318,51.3718
-0.1318,51.3169
-0.0439,51.6998
-0.0439,51.6453
-0.0439,51.5907
-0.0439,51.4266
-0.0439,51.3718
-0.0439,51.3169
0.0439,51.5907
0.0439,51.5361
0.0439,51.4814
0.0439,51.4266
0.1318,51.5907
0.1318,51.5361
0.1318,51.4814
0.1318,51.4266
-0.2417,51.5497
-0.2417,51.5224
-0.2417,51.4951
-0.2417,51.4677
-0.1978,51.5497
-0.1978,51.5224
-0.1978,51.4951
-0.1978,51.4677
-0.1538,51.5497
-0.1538,51.5224
-0.1538,51.4951
-0.1538,51.4677
-0.1538,51.4403
-0.1538,51.4129
-0.1099,51.5497
-0.1099,51.5224
-0.1099,51.4951
-0.1099,51.4677
-0.1099,51.4403
-0.1099,51.4129
-0.0659,51.5497
-0.0659,51.5224
-0.0659,51.4951
-0.0659,51.4677
-0.022,51.5497
-0.022,51.5224
-0.022,51.4951
-0.022,51.4677