areacd,resident,workday,home,within,to1cd,to1,to2cd,to2,to3cd,to3,to4cd,to4,to5cd,to5,from1cd,from1,from2cd,from2,from3cd,from3,from4cd,from4,from5cd,from5,toother,fromother
E09000001,4785,357228,701,1506,E09000033,503,E09000007,347,E09000019,336,E09000030,306,E09000028,164,E09000032,16956,E09000030,15035,E09000028,13274,E09000033,12667,E09000022,12661,922,284428
E09000002,75493,48403,4764,14650,E09000016,6554,E09000026,5389,E09000025,4829,E09000030,4279,E09000033,3528,E09000016,7110,E09000026,4611,E09000025,2851,E06000034,2549,E07000066,1218,31500,10650
E09000003,172470,110785,21611,36031,E09000033,16672,E09000007,14006,E09000001,7990,E09000005,5908,E09000019,5864,E09000010,6641,E09000005,6268,E09000015,5040,E07000098,4206,E09000014,3439,64388,27549
E09000004,110680,63223,8663,25876,E09000011,10807,E09000033,6998,E09000001,5988,E07000107,5948,E09000006,4846,E09000011,5816,E07000107,5065,E09000006,2962,E07000111,1973,E07000109,1864,41554,11004
E09000005,148292,94749,13058,27338,E09000033,18019,E09000007,8735,E09000009,8195,E09000003,6268,E09000015,5199,E09000015,10364,E09000009,6238,E09000003,5908,E09000017,3052,E09000007,1677,61480,27114
E09000006,152363,98064,16167,41000,E09000033,12498,E09000001,9951,E09000028,6175,E09000023,5425,E09000030,4946,E09000008,6457,E09000023,6437,E09000004,4846,E09000011,3329,E07000111,3095,56201,16733
E09000007,110168,265215,14893,23151,E09000033,19863,E09000001,9856,E09000019,5590,E09000030,4192,E09000028,2507,E09000003,14006,E09000019,13297,E09000014,11983,E09000022,9995,E09000012,9760,30116,168130
E09000008,173926,104183,15887,48412,E09000033,11109,E09000022,7602,E09000029,6806,E09000006,6457,E09000001,6276,E09000029,5850,E09000006,4879,E07000215,3321,E09000022,2867,E09000024,2775,71377,20192
E09000009,165800,113074,15343,34302,E09000033,14283,E09000017,11650,E09000018,10385,E09000013,9360,E09000005,6238,E09000017,9560,E09000005,8195,E09000018,6732,E09000015,5024,E09000013,2665,64239,31253
E09000010,138390,91042,12531,37198,E09000014,10132,E09000033,8647,E09000003,6641,E09000007,6241,E09000019,5534,E07000095,5002,E09000014,4954,E09000003,4457,E09000031,3422,E07000072,1806,51466,21672
E09000011,118330,73083,9731,23759,E09000033,9919,E09000001,7090,E09000030,6884,E09000004,5816,E09000023,5771,E09000004,10807,E09000023,5360,E09000006,3023,E07000107,1797,E09000028,1723,49360,16883
E09000012,119051,91491,12060,18889,E09000033,13999,E09000019,10307,E09000007,9760,E09000001,7862,E09000030,7259,E09000014,4511,E09000030,4410,E09000031,4408,E09000019,3933,E09000025,3051,38915,40229
E09000013,100148,117007,10603,16192,E09000033,17794,E09000001,8408,E09000020,7644,E09000007,4674,E09000030,2734,E09000009,9360,E09000032,7618,E09000018,4777,E09000005,4349,E09000022,3995,32099,60113
E09000014,124845,65074,12640,15155,E09000033,15513,E09000007,11983,E09000019,9207,E09000001,6174,E09000010,4954,E09000010,10132,E09000003,3965,E09000031,2868,E09000012,2585,E09000019,2012,49219,15717
E09000015,114755,62033,11868,21485,E09000005,10364,E09000033,7945,E09000017,6261,E09000003,5040,E09000009,5024,E09000005,5199,E09000017,4350,E09000003,2600,E09000009,2523,E07000102,1801,46768,12207
E09000016,113551,72531,8834,31928,E09000001,7759,E09000002,7110,E09000030,5416,E09000026,4882,E09000033,4535,E09000002,6554,E09000026,3760,E06000034,3429,E07000068,2375,E07000066,2196,43087,13455
E09000017,130973,153482,11415,45948,E09000009,9560,E09000018,6251,E09000033,5557,E09000015,4350,E09000005,3052,E09000018,11954,E09000009,11650,E09000015,6261,E06000039,5458,E07000213,4219,44840,56577
E09000018,127613,116338,11331,31030,E09000017,11954,E09000027,7752,E09000033,7375,E09000009,6732,E09000013,4777,E09000009,10385,E09000027,7102,E09000017,6251,E07000213,5579,E09000013,2642,46662,42018
E09000019,107255,159140,10254,16858,E09000033,15645,E09000007,13297,E09000001,11698,E09000030,4741,E09000012,3933,E09000012,10307,E09000014,9207,E09000003,5864,E09000007,5590,E09000010,5534,30829,95526
E09000020,82386,111792,13968,10964,E09000033,16977,E09000001,10543,E09000030,3955,E09000013,3706,E09000007,3281,E09000013,7644,E09000032,7481,E09000022,4996,E09000033,4822,E09000009,4785,18992,57132
E09000021,82434,65999,9094,20982,E09000033,5604,E09000027,3755,E09000001,3263,E07000207,3145,E09000024,3088,E07000207,3947,E09000024,3504,E09000029,3488,E09000027,3479,E07000208,3011,33503,18494
E09000022,167205,121794,14039,20718,E09000033,28957,E09000001,12661,E09000028,10682,E09000007,9995,E09000032,8639,E09000028,10253,E09000008,7602,E09000032,6759,E09000023,5955,E09000006,3966,61514,52502
E09000023,136570,64963,11509,20625,E09000033,14957,E09000028,11735,E09000001,7812,E09000006,6437,E09000030,6228,E09000011,5771,E09000006,5425,E09000028,3399,E09000004,3089,E09000008,1921,57267,13224
E09000024,105369,64578,9609,16588,E09000033,9920,E09000032,8798,E09000001,6290,E09000029,3929,E09000022,3634,E09000029,7117,E09000032,4768,E09000008,4123,E09000021,3088,E09000022,2287,46601,16998
E09000025,132787,82973,8994,24781,E09000033,11611,E09000030,11592,E09000001,6651,E09000007,5132,E09000026,3365,E09000026,7676,E09000002,4829,E09000031,4191,E09000016,3567,E09000030,2973,60661,25962
E09000026,125362,65300,11183,22053,E09000030,8766,E09000033,8696,E09000001,8064,E09000025,7676,E09000031,5236,E09000002,5389,E09000016,4882,E09000031,3801,E09000025,3365,E07000072,3260,53688,11367
E09000027,99916,71427,14156,18671,E09000033,9273,E09000018,7102,E09000001,5500,E09000021,3479,E09000013,3441,E09000018,7752,E09000021,3755,E09000032,2674,E07000213,2111,E07000207,2083,38294,20225
E09000028,147995,169855,12408,25310,E09000033,20785,E09000001,13274,E09000022,10253,E09000007,8027,E09000030,7802,E09000023,11735,E09000022,10682,E09000006,6175,E09000032,6000,E09000011,5689,50136,91856
E09000029,98207,62712,8882,23989,E09000024,7117,E09000008,5850,E09000033,5217,E09000032,3785,E09000021,3488,E09000008,6806,E09000024,3929,E07000211,2743,E07000208,2270,E09000021,1340,39879,12753
E09000030,121244,225066,9111,30488,E09000001,15035,E09000033,14341,E09000007,6315,E09000019,4891,E09000012,4410,E09000025,11592,E09000026,8766,E09000028,7802,E09000012,7259,E09000011,6884,36653,143164
E09000031,121461,61218,9270,21581,E09000033,10956,E09000007,6137,E09000001,5831,E09000030,5282,E09000019,4787,E09000026,5236,E09000025,3243,E07000072,2425,E09000010,2193,E09000012,1653,57617,15617
E09000032,179439,104682,16863,23925,E09000033,29116,E09000001,16956,E09000007,8626,E09000013,7618,E09000020,7481,E09000024,8798,E09000022,8639,E09000008,5491,E09000029,3785,E09000028,2997,68854,34184
E09000033,112518,574979,16061,34762,E09000001,12667,E09000007,7246,E09000030,5591,E09000020,4822,E09000013,2827,E09000032,29116,E09000022,28957,E09000028,20785,E09000007,19863,E09000005,18019,28542,407416
E08000001,123803,106648,10199,62464,E08000003,7017,E08000006,6459,E08000002,5080,E08000010,4476,E08000009,3097,E08000010,9110,E08000002,4786,E08000006,3627,E07000118,2453,E06000008,1827,25011,12182
E08000002,88452,67616,7785,32936,E08000003,12130,E08000006,5689,E08000001,4786,E08000005,4095,E08000009,2652,E08000001,5080,E08000005,4868,E08000003,2490,E07000125,2176,E08000006,2154,18379,10127
E08000003,214459,303623,15448,108658,E08000009,17100,E08000007,11713,E08000006,10090,E08000004,4525,E06000049,4162,E08000007,25549,E08000009,24760,E08000006,18919,E08000008,17483,E08000002,12130,42763,80676
E08000004,96668,82293,7433,45747,E08000003,11712,E08000005,5869,E08000008,4606,E08000006,2178,E08000009,2005,E08000005,8003,E08000008,4872,E08000003,4525,E08000002,1911,E08000007,1389,17118,8413
E08000005,91165,72574,7175,40260,E08000003,9269,E08000004,8003,E08000002,4868,E08000006,2279,E08000009,1928,E08000004,5869,E08000002,4095,E07000125,2587,E08000003,2394,E08000001,1270,17383,8924
E08000006,107288,106561,8062,39355,E08000003,18919,E08000009,12461,E08000001,3627,E08000002,2154,E06000007,1738,E08000003,10090,E08000009,6496,E08000001,6459,E08000010,5845,E08000002,5689,20972,24565
E08000007,137978,116884,13641,55275,E08000003,25549,E06000049,8560,E08000009,5780,E08000008,4392,E08000006,3203,E08000003,11713,E08000008,8518,E06000049,6808,E08000009,3998,E07000037,3324,21578,13607
E08000008,102255,72616,7721,41324,E08000003,17483,E08000007,8518,E08000004,4872,E08000009,2996,E08000006,2576,E08000004,4606,E08000007,4392,E08000003,3729,E07000037,2735,E08000005,1041,16765,7068
E08000009,111465,123177,11312,41677,E08000003,24760,E08000006,6496,E08000007,3998,E06000049,2786,E06000007,1876,E08000003,17100,E08000006,12461,E08000007,5780,E08000010,3532,E06000049,3510,18560,27805
E08000010,150332,106748,10932,68238,E08000001,9110,E06000007,6539,E08000006,5845,E08000013,5787,E08000003,5415,E08000001,4476,E08000013,4073,E07000127,2483,E06000007,2000,E07000118,1912,38466,12634
E08000011,61932,52695,3582,18500,E08000012,19655,E08000014,2966,E08000013,2593,E06000006,1738,E06000007,1430,E08000012,11549,E08000013,5725,E08000014,3886,E06000006,2043,E08000015,1305,11468,6105
E08000012,197457,221915,12340,118413,E08000011,11549,E08000014,11542,E08000015,4195,E06000007,3191,E06000006,2890,E08000014,24208,E08000011,19655,E08000015,18094,E08000013,5053,E06000006,4518,33337,19634
E08000013,78862,60146,5408,32661,E06000007,6804,E08000011,5725,E08000012,5053,E08000010,4073,E06000006,2265,E08000010,5787,E08000011,2593,E06000007,2516,E08000012,2213,E06000006,1500,16873,7468
E08000014,122709,94392,10380,55569,E08000012,24208,E07000127,5220,E08000011,3886,E08000013,1324,E06000007,1246,E08000012,11542,E07000127,5476,E08000011,2966,E08000015,1918,E08000013,1411,20876,5130
E08000015,140681,103165,11784,74137,E08000012,18094,E06000050,10189,W06000005,2828,E08000014,1918,E08000011,1305,E06000050,6135,E08000012,4195,E08000014,1194,E08000011,1065,W06000005,991,20426,3664
E08000016,104015,75180,8066,49800,E08000019,8353,E08000018,8226,E08000036,7028,E08000035,3518,E08000017,3107,E08000019,3961,E08000018,3363,E08000036,3024,E08000017,1774,E08000034,1768,15917,3424
E08000017,134460,117592,11250,79848,E08000018,7490,E08000019,4022,E08000036,2828,E07000171,2226,E08000035,2005,E08000018,5658,E07000171,3345,E08000016,3107,E06000013,2605,E08000019,2461,24791,9318
E08000018,115323,99417,8876,53655,E08000019,22529,E08000017,5658,E08000016,3363,E07000171,2169,E08000035,1212,E08000019,11700,E08000016,8226,E08000017,7490,E07000171,1771,E07000038,1324,17861,6375
E08000019,245255,243475,18778,161004,E08000018,11700,E08000016,3961,E07000038,3642,E07000034,3226,E08000035,2477,E08000018,22529,E07000038,8742,E08000016,8353,E08000017,4022,E07000034,3137,40467,16910
E08000020,92238,86891,6463,37486,E08000021,19941,E08000024,5883,E06000047,4317,E08000022,3596,E06000048,3592,E06000047,10267,E08000021,9944,E08000024,7140,E08000023,4960,E06000048,4691,10960,5940
E08000021,119840,162219,8545,63863,E08000022,10848,E08000020,9944,E06000048,6275,E08000024,3220,E06000047,2311,E08000022,24932,E08000020,19941,E06000048,19289,E06000047,8682,E08000023,6484,14834,10483
E08000022,96409,78695,7107,39149,E08000021,24932,E06000048,6256,E08000020,4104,E08000024,2207,E08000023,1785,E08000021,10848,E06000048,10506,E08000020,3596,E08000023,2170,E06000047,1686,10869,3633
E08000023,64867,46198,3927,27902,E08000024,8749,E08000021,6484,E08000020,4960,E08000022,2170,E06000047,1739,E08000024,4979,E08000020,2456,E06000047,1888,E08000022,1785,E08000021,1551,8936,1710
E08000024,121920,119013,7784,70399,E06000047,9409,E08000020,7140,E08000021,6161,E08000023,4979,E08000022,1676,E06000047,15709,E08000023,8749,E08000020,5883,E08000021,3220,E08000022,2207,14372,5062
E08000025,425748,456098,33231,256811,E08000029,26479,E08000028,13661,E08000030,5872,E07000218,5151,E07000234,5073,E08000029,29458,E08000028,28088,E08000030,16037,E08000027,14057,E07000234,9996,79470,68420
E08000026,138142,139501,10157,78767,E07000222,9249,E07000219,4878,E08000025,4472,E07000220,3805,E08000029,3072,E07000219,11392,E07000222,7903,E07000220,4909,E08000025,4596,E08000029,3654,23742,18123
E08000027,142669,113699,11139,63764,E08000028,16877,E08000025,14057,E08000031,7757,E08000030,2638,E07000196,2333,E08000028,11739,E08000031,5249,E08000025,4547,E07000196,3736,E07000239,2473,24104,11052
E08000028,129039,116917,7902,50299,E08000025,28088,E08000027,11739,E08000030,6843,E08000031,3780,E08000029,1511,E08000027,16877,E08000025,13661,E08000030,8679,E08000031,6133,E07000196,1894,18877,11472
E08000029,98539,93651,10163,32114,E08000025,29458,E08000026,3654,E07000222,2327,E07000218,2301,E07000221,1612,E08000025,26479,E08000026,3072,E07000234,1896,E07000222,1800,E07000218,1697,16910,16430
E08000030,112780,97249,8251,47216,E08000025,16037,E08000028,8679,E08000031,7700,E07000194,2311,E07000192,2243,E08000031,8052,E08000028,6843,E08000025,5872,E07000196,3876,E07000192,3855,20343,13284
E08000031,104765,101119,7343,49388,E08000030,8052,E08000028,6133,E08000025,5842,E08000027,5249,E07000196,4448,E07000196,10381,E08000027,7757,E08000030,7700,E08000028,3780,E08000025,2760,18310,12010
E08000032,219947,199509,19562,129611,E08000035,27508,E08000033,6164,E08000034,4949,E07000163,4279,E08000036,2309,E08000035,16957,E08000034,8897,E08000033,8096,E07000163,3963,E08000036,1832,25565,10591
E08000033,97063,88616,9624,52014,E08000032,8096,E08000034,7387,E08000035,4988,E08000005,1131,E08000036,1014,E08000034,10196,E08000032,6164,E08000035,2401,E08000005,689,E08000036,681,12809,6847
E08000034,193183,154722,17926,102258,E08000035,19725,E08000033,10196,E08000032,8897,E08000036,7916,E08000016,1768,E08000033,7387,E08000035,6950,E08000036,6022,E08000032,4949,E08000016,2034,24497,7196
E08000035,356677,387410,29997,236326,E08000032,16957,E08000036,12682,E08000034,6950,E07000165,6019,E06000014,2582,E08000032,27508,E08000036,21568,E08000034,19725,E07000165,8481,E07000169,6193,45164,37612
E08000036,152354,141574,11496,84977,E08000035,21568,E08000034,6022,E08000016,3024,E07000169,2518,E08000017,1838,E08000035,12682,E08000034,7916,E08000016,7028,E07000169,3039,E08000017,2828,20911,11608
E06000001,37894,31643,2506,20777,E06000004,3865,E06000047,2269,E06000002,1591,E08000024,651,E06000003,534,E06000047,2665,E06000004,2590,E06000002,990,E06000003,558,E08000024,399,5701,1158
E06000002,54709,58885,3373,25474,E06000004,8889,E06000003,5111,E07000164,1450,E06000005,1030,E06000001,990,E06000004,10779,E06000003,10569,E07000164,1817,E06000047,1656,E06000001,1591,8392,3626
E06000003,56593,41992,4100,25106,E06000002,10569,E06000004,5387,E07000164,1322,E06000005,682,E06000001,558,E06000002,5111,E06000004,3652,E07000164,932,E07000168,632,E06000047,592,8869,1867
E06000004,87397,80761,6438,44337,E06000002,10779,E06000003,3652,E06000005,3317,E06000001,2590,E06000047,2513,E06000002,8889,E06000003,5387,E06000047,4176,E06000001,3865,E06000005,3014,13771,4655
E06000005,49215,49353,4237,26671,E06000047,4629,E06000004,3014,E07000164,1328,E06000002,1300,E07000166,1286,E06000047,8552,E06000004,3317,E07000166,1387,E06000002,1030,E06000003,682,6750,3477
E06000006,57771,54091,3741,27270,E06000007,5786,E08000012,4518,E06000050,2680,E08000011,2043,E08000013,1500,E06000007,4674,E06000050,3663,E08000012,2890,E08000013,2265,E08000011,1738,10233,7850
E06000007,101235,109046,9452,50422,E06000006,4674,E08000003,4232,E08000009,3226,E08000012,2628,E08000013,2516,E08000013,6804,E08000010,6539,E06000006,5786,E06000050,3894,E08000012,3191,24085,22958
E06000008,60726,60775,4986,31801,E07000120,3351,E07000123,2315,E07000124,1942,E08000001,1827,E07000117,1331,E07000120,6278,E07000124,3126,E07000117,2103,E08000001,1490,E07000118,1328,13173,9663
E06000009,61782,58743,6270,32638,E07000119,7312,E07000128,4902,E07000123,1897,E07000126,504,E07000121,354,E07000128,10119,E07000119,5167,E07000123,1096,E07000126,552,E07000121,500,7905,2401
E06000010,111269,117798,5742,73454,E06000011,18534,E06000012,704,E06000013,601,E08000035,393,E06000014,288,E06000011,33138,E06000013,1391,E06000012,685,E06000014,323,E08000035,308,11553,2757
E06000011,159885,123524,19401,73929,E06000010,33138,E06000014,5464,E07000169,2524,E08000035,1858,E07000168,1622,E06000010,18534,E06000014,1957,E08000017,1631,E07000169,1607,E06000013,1107,21949,5358
E06000012,71144,66237,4690,49985,E06000013,4692,E07000137,1257,E07000142,864,E06000010,685,E06000011,330,E06000013,3803,E07000137,3336,E07000142,1760,E06000010,704,E06000011,548,8641,1411
E06000013,78459,72135,6960,50420,E06000012,3803,E08000017,2605,E07000142,1421,E06000010,1391,E06000011,1107,E06000012,4692,E07000142,2944,E08000017,1995,E06000011,1119,E06000010,601,10752,3404
E06000014,99183,97282,9422,62209,E08000035,5023,E07000164,2915,E07000165,2194,E06000011,1957,E07000169,1805,E06000011,5464,E07000169,5093,E08000035,2582,E07000164,2158,E07000167,2125,13658,8229
E06000015,112844,117143,7899,67574,E07000032,3692,E07000039,3517,E07000036,3194,E06000018,2671,E07000134,2616,E07000032,8364,E07000039,7897,E07000036,6348,E07000193,2488,E07000035,1837,21681,14736
E06000016,137987,155156,9486,78479,E07000129,11508,E07000135,5568,E07000130,5496,E07000131,3737,E07000132,1962,E07000130,15359,E07000129,13849,E07000135,9930,E07000131,6397,E07000132,6251,21751,15405
E06000017,18195,17230,3076,7378,E07000141,1244,E06000031,1015,E06000016,640,E07000133,484,E07000150,450,E07000141,2301,E07000133,1036,E06000031,414,E07000150,372,E07000131,298,3908,2355
E06000018,123743,165655,8957,67048,E07000176,6962,E07000173,6117,E07000172,4890,E07000170,2860,E07000036,1801,E07000173,20015,E07000172,15394,E07000176,15002,E07000170,7571,E07000036,6560,25108,25108
E06000019,91250,80222,15685,53751,E07000235,1835,E06000051,1278,E07000080,1178,E07000237,1144,W06000023,918,E07000080,1678,E07000235,1341,W06000023,1185,E06000051,1173,W06000021,837,15461,4572
E06000020,78624,78613,6395,48842,E06000051,8185,E08000031,1770,E08000025,1096,E07000197,879,E08000030,543,E06000051,11105,E08000031,2462,E07000196,1446,E07000197,1155,E08000025,715,10914,6493
E06000021,108538,107251,7010,60210,E07000195,11756,E07000198,5182,E07000197,5119,E06000049,3774,E07000193,1394,E07000195,16237,E07000198,9529,E07000197,4631,E06000049,4057,E07000193,578,14093,4999
E06000022,85473,83715,10854,43620,E06000023,8409,E06000025,3927,E06000054,3387,E07000187,2900,E06000024,1171,E06000054,8292,E06000023,5333,E06000025,4977,E07000187,4285,E06000024,1177,11205,5177
E06000023,210925,220536,18044,121585,E06000025,28895,E06000024,7109,E06000022,5333,E06000054,1478,E06000030,834,E06000025,34636,E06000024,17547,E06000022,8409,E06000054,2758,E07000188,1599,27647,15958
E06000024,98256,76306,11985,45508,E06000023,17547,E06000025,5711,E07000188,2359,E06000022,1177,E07000190,477,E06000023,7109,E07000188,3423,E06000025,2774,E06000022,1171,E07000187,680,13492,3656
E06000025,137271,131837,13014,59464,E06000023,34636,E06000022,4977,E06000024,2774,E07000082,1568,E06000054,1562,E06000023,28895,E06000024,5711,E06000022,3927,E06000054,3161,E07000082,3132,19276,14533
E06000026,117891,113223,7990,79440,E07000044,9211,E06000052,3742,E07000041,1096,E07000047,1028,E07000045,866,E06000052,9425,E07000044,6995,E07000047,2973,E07000045,1128,E06000027,784,14518,4488
E06000027,57396,47912,7035,32308,E07000045,5192,E07000044,2668,E07000041,2127,E06000026,784,E07000040,415,E07000045,4736,E07000044,1896,E06000026,675,E07000041,385,E07000040,161,6867,716
E06000028,89720,73666,9272,39184,E06000029,14269,E07000048,4781,E07000049,3909,E07000091,2607,E06000045,930,E06000029,10852,E07000049,4106,E07000048,4062,E07000091,2210,E07000051,937,14768,3043
E06000029,72164,73484,7601,33835,E06000028,10852,E07000049,3898,E07000051,2213,E07000048,1334,E07000091,945,E06000028,14269,E07000049,5875,E07000051,4148,E07000050,1330,E07000048,1233,11486,5193
E06000030,109872,100947,8926,68153,E06000054,7174,E07000180,2552,E06000037,1778,E07000079,1776,E07000094,1480,E06000054,10569,E07000079,1915,E07000180,1355,E06000023,834,E06000037,772,18033,8423
E06000031,88414,95102,7250,55300,E07000011,3843,E07000141,2682,E07000010,2190,E07000152,1158,E07000140,1141,E07000141,7791,E07000011,6026,E07000010,4980,E07000140,3266,E07000152,1625,14850,8864
E06000032,89589,81670,6239,41083,E06000056,8401,E07000100,3212,E07000096,2377,E07000104,2063,E06000042,1979,E06000056,12780,E07000100,1819,E07000099,1721,E06000055,1682,E06000042,1469,24235,14877
E06000033,81899,65124,7586,36877,E07000075,4958,E07000066,4407,E09000001,3908,E07000069,2577,E09000030,1717,E07000075,8466,E07000069,4869,E07000066,2229,E07000070,917,E06000034,750,19869,3430
E06000034,77668,56687,5233,29650,E07000066,5310,E09000016,3429,E09000001,3428,E09000030,2630,E09000002,2549,E09000016,3674,E07000066,3470,E07000069,1638,E09000002,1396,E06000033,1192,25439,10434
E06000035,127127,86333,9994,53629,E07000110,7578,E07000115,6354,E07000113,4201,E07000107,3977,E07000109,3185,E07000113,4751,E07000110,4165,E07000115,2523,E07000109,2389,E07000106,1099,38209,7783
E06000036,62184,54435,6931,19001,E06000040,4910,E06000041,4620,E07000214,2803,E06000038,1936,E06000039,1878,E06000041,6371,E06000038,2247,E06000040,2135,E07000089,1959,E07000214,1624,20105,14167
E06000037,82149,80786,10864,36364,E06000038,9199,E07000084,2744,E06000041,2498,E07000180,1192,E07000179,1170,E07000084,7670,E06000038,6255,E06000041,2659,E06000054,2221,E06000030,1778,18118,12975
E06000038,80199,83307,7080,33960,E06000041,7778,E06000037,6255,E07000179,2615,E06000036,2247,E06000040,1361,E06000041,12616,E06000037,9199,E07000179,2514,E07000084,2006,E06000036,1936,18903,13996
E06000039,67557,68361,5017,24062,E06000040,6380,E09000017,5458,E07000006,3486,E09000018,2148,E09000009,1200,E06000040,5865,E07000006,3618,E09000017,3046,E09000018,2172,E07000007,2058,19806,22523
E06000040,74499,71115,11072,23072,E06000039,5865,E09000017,2868,E07000007,2810,E06000036,2135,E09000033,1987,E06000039,6380,E06000036,4910,E06000041,3124,E07000007,2983,E07000006,1868,24690,17706
E06000041,81786,63438,10984,21690,E06000038,12616,E06000036,6371,E06000040,3124,E06000037,2659,E06000039,1767,E06000038,7778,E06000036,4620,E06000037,2498,E06000040,1692,E07000089,1235,22575,12941
E06000042,128238,135005,12598,77957,E06000056,4100,E07000004,2708,E06000055,2129,E07000154,2093,E06000032,1469,E06000056,8061,E07000155,5631,E07000004,4945,E07000154,4221,E06000055,3909,25184,17683
E06000043,140638,122192,17665,72648,E07000063,4407,E07000228,4008,E07000226,3715,E07000223,3077,E07000229,2803,E07000063,8478,E07000223,6615,E07000228,3492,E07000229,3315,E07000227,1720,32315,8259
E06000044,97004,100974,7182,52520,E07000090,7155,E07000087,4223,E07000094,2627,E07000225,1923,E07000085,1669,E07000090,10915,E07000087,7819,E07000088,5942,E07000085,2474,E07000094,2098,19705,12024
